PRG 105,PRG 105,PRG 113,PRG 113,SHE 08,SHE 08,SHE 16,SHE 16,,,,
PRG 106,PRG 106,SHE 01,SHE 01,SHE 09,SHE 09,SHE 17,SHE 17,,,,
PRG 107,PRG 107,SHE 02,SHE 02,SHE 10,SHE 10,SHE 18,SHE 18,,,,
PRG 108,PRG 108,SHE 03,SHE 03,SHE 11,SHE 11,SHE 19,SHE 19,,,,
PRG 109,PRG 109,SHE 04,SHE 04,SHE 12,SHE 12,SHE 20,SHE 20,,,,
PRG 110,PRG 110,SHE 05,SHE 05,SHE 13,SHE 13,SHE 01,SHE 01,,,,
PRG 111,PRG 111,SHE 06,SHE 06,SHE 14,SHE 14,SHE 02,SHE 02,con +,con +,con -,con -
PRG 112,PRG 112,SHE 07,SHE 07,SHE 15,SHE 15,SHE 03,SHE 03,con +,con +,con -,con -
